,Unnamed: 0,domain,scanned url,total,positives,duration[VT],rlength,resolution,server,URL after redirects,Final URL,suspicious_tld,length,fake_tld,brand,pop_keywords,similar,is_idn,minus,num_subdomains,unshorten url
139,624,lavozdemichoacan.com.mx,https://www.lavozdemichoacan.com.mx/pais/covid-19/eua-busca-a-30-mil-voluntarios-para-participar-en-la-fase-3-de-la-vacuna-de-astrazeneca/,83,1,0,19206,50.21.183.19,Apache/2.4.6 (CentOS) OpenSSL/1.0.2k-fips PHP/7.1.33,None,https://www.lavozdemichoacan.com.mx/pais/covid-19/eua-busca-a-30-mil-voluntarios-para-participar-en-la-fase-3-de-la-vacuna-de-astrazeneca/,N,138,0,0,0,0,N,17,2,https://www.lavozdemichoacan.com.mx/pais/covid-19/eua-busca-a-30-mil-voluntarios-para-participar-en-la-fase-3-de-la-vacuna-de-astrazeneca/
140,659,covid-19worldstats.com,https://www.covid-19worldstats.com/news/First-American-dosed-with-Oxford-AstraZeneca-phase-three-COVID-19-vaccine-speaks-out,83,1,0,22254,37.97.159.129,Apache/2,None,https://www.covid-19worldstats.com/news/First-American-dosed-with-Oxford-AstraZeneca-phase-three-COVID-19-vaccine-speaks-out,N,124,0,0,0,0,N,13,1,https://www.covid-19worldstats.com/news/First-American-dosed-with-Oxford-AstraZeneca-phase-three-COVID-19-vaccine-speaks-out
141,671,bit.ly,https://bit.ly/3lJDkmz%20https:/bit.ly/32Jx0TC,83,1,0,5422,67.199.248.11,nginx,https://bitly.com/3lJDkmz%20https:/bit.ly/32Jx0TC,https://bitly.com/3lJDkmz%20https:/bit.ly/32Jx0TC,N,49,0,0,0,0,N,0,1,https://bitly.com/3lJDkmz%20https:/bit.ly/32Jx0TC
142,695,bit.ly,https://bit.ly/32Vqnxu,83,1,0,2008,67.199.248.11,,https://urldefense.com/jerror,https://urldefense.com/jerror,N,29,0,0,0,0,N,0,0,https://urldefense.com/jerror
143,779,nity.fr,https://nity.fr/go-SQRF3Q0,83,3,0,132296,104.24.104.165,cloudflare,https://www.dreuz.info/2020/08/02/vaccin-contre-le-coronavirus-astrazeneca-sera-exempte-de-toute-responsabilite-dans-la-plupart-des-pays/,https://www.dreuz.info/2020/08/02/vaccin-contre-le-coronavirus-astrazeneca-sera-exempte-de-toute-responsabilite-dans-la-plupart-des-pays/,Y,137,0,0,0,0,N,14,1,https://www.dreuz.info/2020/08/02/vaccin-contre-le-coronavirus-astrazeneca-sera-exempte-de-toute-responsabilite-dans-la-plupart-des-pays/
144,786,lnkd.in,https://lnkd.in/dBmEc9z%20https:/lnkd.in/dQQxNaX,83,1,0,45954,108.174.10.10,,https://www.linkedin.com/feed/update/urn:li:share:6707225903912513537,https://www.linkedin.com/feed/update/urn:li:share:6707225903912513537,N,69,0,0,0,1,N,0,1,https://www.linkedin.com/feed/update/urn:li:share:6707225903912513537
145,827,lnkd.in,https://lnkd.in/d7fxVgW%20https:/lnkd.in/dGyprn8,83,1,0,43864,108.174.10.10,,https://www.linkedin.com/feed/update/urn:li:share:6707263103760928768,https://www.linkedin.com/feed/update/urn:li:share:6707263103760928768,N,69,0,0,0,1,N,0,1,https://www.linkedin.com/feed/update/urn:li:share:6707263103760928768
146,918,lnkd.in,https://lnkd.in/gWr3Ntr%20https:/lnkd.in/gteaANu,83,1,0,24819,108.174.10.10,,https://www.linkedin.com/signup/cold-join?session_redirect=https://www.linkedin.com/feed/update/urn:li:share:6707303420442869760,https://www.linkedin.com/signup/cold-join?session_redirect=https://www.linkedin.com/feed/update/urn:li:share:6707303420442869760,N,128,0,0,0,1,N,1,3,https://www.linkedin.com/signup/cold-join?session_redirect=https://www.linkedin.com/feed/update/urn:li:share:6707303420442869760
147,971,panoramafarmaceutico.com.br,https://panoramafarmaceutico.com.br/2020/07/31/aztrazeneca-esta-protegida-de-processos-por-efeitos-colaterais-de-vacina-contra-covid-19-diz-,83,1,0,153013,172.67.220.210,cloudflare,https://panoramafarmaceutico.com.br/2020/07/31/aztrazeneca-esta-protegida-de-processos-por-efeitos-colaterais-de-vacina-contra-covid-19-diz-executivo/,https://panoramafarmaceutico.com.br/2020/07/31/aztrazeneca-esta-protegida-de-processos-por-efeitos-colaterais-de-vacina-contra-covid-19-diz-executivo/,N,150,0,0,0,0,N,14,1,https://panoramafarmaceutico.com.br/2020/07/31/aztrazeneca-esta-protegida-de-processos-por-efeitos-colaterais-de-vacina-contra-covid-19-diz-executivo/
148,1004,loom.ly,https://loom.ly/vk5CH9M,83,1,0,282137,34.233.45.201,nginx,https://www.reuters.com/article/us-health-coronavirus-astrazeneca/astrazenecas-covid-19-vaccine-candidate-begins-late-stage-u-s-study-idUSKBN25R2XJ,https://www.reuters.com/article/us-health-coronavirus-astrazeneca/astrazenecas-covid-19-vaccine-candidate-begins-late-stage-u-s-study-idUSKBN25R2XJ,N,147,0,0,0,0,N,14,1,https://www.reuters.com/article/us-health-coronavirus-astrazeneca/astrazenecas-covid-19-vaccine-candidate-begins-late-stage-u-s-study-idUSKBN25R2XJ
